,Cocktail Name,Cocktail_tags,Ingredients,Preparation,Alcoholic?,Category
64,Boston Sour,,"1 Cherry, 1 slice Lemon, 1 Egg white, 1 tsp Powdered sugar, Juice of 1/2 Lemon, 2 oz Blended whiskey, ","Shake juice of lemon, powdered sugar, blended whiskey, and egg white with cracked ice and strain into a whiskey sour glass. Add the slice of lemon, top with the cherry, and serve.",Alcoholic,Ordinary Drink
65,Bahama Mama,,"1 partSweet and Sour, 2 partsOrange Juice, 2 partsPineapple Juice, 1 partGrenadine, 1 partBanana liqueur, 1 partDark Rum, 3 partsRum, ","Add 2 parts club soda or more or less to taste.

Mix it all together and pour over a bunch of ice. Drink with a straw.",Alcoholic,Cocktail
66,Casino,IBA,"1 Cherry, 2 dashes Orange bitters, 1/4 tsp Lemon juice, 1/4 tsp Maraschino liqueur, 2 oz Gin, ",Pour all ingredients into shaker with ice cubes. Shake well. Strain into chilled cocktail glass. Garnish with a lemon twist and a maraschino cherry. Serve without a straw.,Alcoholic,Ordinary Drink
67,Cafe Savoy,,"NoneBrandy, 1/2 oz Triple sec, 1/2 oz Milk, NoneCoffee, ","Fill mug almost to top with coffee.Add milk, triple sec and brandy. Stir.",Alcoholic,Coffee / Tea
68,Caipirinha,"ContemporaryClassic,IBA","2 1/2 oz Cachaca, 1 Lime, 2 tspSugar, ",Place lime and sugar into old fashioned glass and muddle (mash the two ingredients together using a muddler or a wooden spoon). Fill the glass with ice and add the Cachaça.,Alcoholic,Ordinary Drink
69,Cream Soda,,"NoneGinger ale, 1 oz Spiced rum, ",Pour 1oz of Spiced Rum into a highball glass with ice. Fill with Ginger Ale.,Alcoholic,Cocktail
70,Cuba Libra,,"NoneIce, Fill with Coca-Cola, Squeeze Lime, 1-2 shot Dark rum, ",Fill tall glass with ice cubes. Add rum. Rub cut edge of lime on rim of glass then squeeze juice into glass. Fill with Coca-Cola. Garnish with lime slice. Enjoy!,Alcoholic,Ordinary Drink
71,Cherry Rum,,"1 tblsp Light cream, 1 1/2 tsp Cherry brandy, 1 1/4 oz Light rum, ","Shake all ingredients with ice, strain into a cocktail glass, and serve.",Alcoholic,Ordinary Drink
72,Cuba Libre,"IBA,ContemporaryClassic","NoneCoca-Cola, Juice of 1/2 Lime, 2 oz Light rum, ",Build all ingredients in a Collins glass filled with ice. Garnish with lime wedge.,Alcoholic,Ordinary Drink
73,Corn n Oil,,"1 ozblackstrap rum, 1 ozAñejo rum, 2 dashesAngostura Bitters, 1/3 ozFalernum, 1/2Lime, ","Cut the half lime in half again. Add the lime, falernum, and bitters to a rocks glass. Muddle. Add the rum. (Aged Barbados rum such as Plantation 5 Year is recommended). Add ice and stir. Float the blackstrap rum on top. Serve with a straw.",Alcoholic,Cocktail
74,Citrus Coke,,"2 parts Coca-Cola, 1 part Bacardi Limon, ",Pour half of coke in a glass. Then add Bacardi and top it off with the remaining coke. Stir and drink up!,Alcoholic,Soft Drink
